Date,Region,Sales,AdSpend,Clicks,ConversionRate
2026-05-01,North,15200,1200,850,0.045
2026-05-02,South,18400,1500,980,0.048
2026-05-03,East,22100,1800,1200,0.052
2026-05-04,West,14100,1100,740,0.041
2026-05-05,North,16800,1300,910,0.046
2026-05-06,South,19500,1600,1050,0.049
2026-05-07,East,24000,2000,1350,0.055
2026-05-08,West,15900,1250,810,0.043
2026-05-09,North,17200,1400,940,0.047
2026-05-10,South,21000,1700,1120,0.051
2026-05-11,East,25500,2100,1420,0.057
2026-05-12,West,16500,1300,860,0.044
